time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
3.310,0.259,-0.187,9.580,-0.026,0.012,0.013
3.320,0.254,-0.235,9.556,-0.028,0.008,0.009
3.330,0.240,-0.134,9.427,-0.030,0.011,0.011
3.340,0.287,-0.192,9.417,-0.022,0.011,0.011
3.350,0.331,-0.168,9.527,-0.027,0.011,0.008
3.360,0.206,-0.168,9.465,-0.028,0.012,0.009
3.370,0.206,-0.134,9.518,-0.025,0.004,0.009
3.380,0.268,-0.168,9.456,-0.027,0.014,0.010
3.390,0.259,-0.177,9.479,-0.030,0.016,0.007
3.400,0.268,-0.172,9.484,-0.030,0.007,0.009
3.410,0.259,-0.153,9.460,-0.028,0.011,0.009
3.420,0.240,-0.177,9.451,-0.028,0.011,0.009
3.430,0.350,-0.168,9.513,-0.025,0.008,0.011
3.440,0.297,-0.187,9.551,-0.029,0.006,0.012
3.450,0.259,-0.172,9.479,-0.030,0.008,0.008
3.460,0.263,-0.163,9.513,-0.028,0.014,0.007
3.470,0.259,-0.129,9.484,-0.027,0.010,0.009
3.480,0.263,-0.172,9.456,-0.027,0.009,0.009
3.490,0.254,-0.139,9.465,-0.025,0.013,0.012
3.500,0.292,-0.196,9.499,-0.027,0.012,0.011
3.510,0.268,-0.225,9.551,-0.028,0.010,0.007
3.520,0.230,-0.182,9.523,-0.025,0.014,0.009
3.530,0.263,-0.163,9.566,-0.024,0.008,0.010
3.540,0.263,-0.144,9.446,-0.026,0.011,0.009
3.550,0.240,-0.172,9.585,-0.029,0.013,0.010
3.560,0.249,-0.139,9.537,-0.029,0.008,0.007
3.570,0.244,-0.254,9.503,-0.027,0.014,0.010
3.580,0.240,-0.201,9.527,-0.026,0.009,0.010
3.590,0.249,-0.144,9.585,-0.028,0.009,0.010
3.600,0.292,-0.144,9.446,-0.028,0.013,0.007
3.610,0.292,-0.201,9.436,-0.027,0.009,0.011
3.620,0.158,-0.216,9.547,-0.028,0.009,0.012
3.630,0.182,-0.177,9.503,-0.029,0.008,0.007
3.640,0.316,-0.201,9.508,-0.028,0.014,0.008
3.650,0.273,-0.182,9.532,-0.029,0.008,0.009
3.660,0.254,-0.158,9.551,-0.028,0.006,0.009
3.670,0.240,-0.101,9.518,-0.025,0.014,0.009
3.680,0.359,-0.125,9.465,-0.030,0.007,0.008
3.690,0.302,-0.168,9.537,-0.030,0.010,0.009
3.700,0.259,-0.273,9.542,-0.030,0.009,0.010
3.710,0.211,-0.148,9.479,-0.028,0.012,0.008
3.720,0.249,-0.196,9.499,-0.028,0.007,0.008
3.730,0.273,-0.168,9.446,-0.023,0.009,0.011
3.740,0.240,-0.201,9.460,-0.026,0.012,0.008
3.750,0.268,-0.158,9.460,-0.026,0.010,0.010
3.760,0.292,-0.177,9.494,-0.025,0.012,0.010
3.770,0.225,-0.182,9.542,-0.027,0.006,0.011
3.780,0.249,-0.192,9.456,-0.024,0.013,0.009
3.790,0.182,-0.273,9.374,-0.024,0.009,0.010
3.800,0.307,-0.148,9.523,-0.029,0.010,0.012
3.810,0.307,-0.172,9.547,-0.028,0.009,0.008
3.820,0.350,-0.120,9.499,-0.026,0.012,0.010
3.830,0.249,-0.192,9.523,-0.027,0.011,0.011
3.840,0.302,-0.091,9.508,-0.028,0.008,0.010
3.850,0.244,-0.182,9.537,-0.028,0.010,0.010
3.860,0.240,-0.163,9.537,-0.029,0.009,0.008
3.870,0.244,-0.182,9.460,-0.031,0.014,0.010
3.880,0.244,-0.201,9.551,-0.025,0.010,0.009
3.890,0.321,-0.163,9.465,-0.026,0.012,0.009
3.900,0.283,-0.144,9.532,-0.029,0.007,0.011
3.910,0.216,-0.187,9.638,-0.025,0.014,0.009
3.920,0.230,-0.206,9.494,-0.028,0.010,0.012
3.930,0.268,-0.211,9.388,-0.026,0.013,0.009
3.940,0.292,-0.172,9.479,-0.026,0.013,0.007
3.950,0.249,-0.163,9.499,-0.027,0.008,0.009
3.960,0.249,-0.144,9.460,-0.029,0.010,0.012
3.970,0.225,-0.211,9.479,-0.027,0.008,0.009
3.980,0.292,-0.206,9.527,-0.028,0.012,0.008
3.990,0.230,-0.225,9.561,-0.028,0.007,0.016
4.000,0.287,-0.144,9.532,-0.028,0.013,0.013
4.010,0.311,-0.201,9.527,-0.029,0.009,0.011
4.020,0.225,-0.158,9.503,-0.025,0.010,0.011
4.030,0.287,-0.158,9.465,-0.026,0.009,0.010
4.040,0.263,-0.172,9.489,-0.025,0.010,0.010
4.050,0.326,-0.182,9.570,-0.027,0.008,0.009
4.060,0.249,-0.115,9.470,-0.026,0.013,0.008
4.070,0.273,-0.120,9.494,-0.026,0.009,0.009
4.080,0.244,-0.172,9.494,-0.026,0.013,0.011
4.090,0.201,-0.187,9.508,-0.030,0.008,0.006
4.100,0.254,-0.187,9.479,-0.028,0.008,0.012
4.110,0.216,-0.201,9.499,-0.027,0.009,0.008
4.120,0.321,-0.115,9.523,-0.025,0.009,0.009
4.130,0.278,-0.153,9.518,-0.030,0.007,0.008
4.140,0.230,-0.240,9.379,-0.027,0.008,0.012
4.150,0.225,-0.177,9.499,-0.027,0.010,0.010
4.160,0.249,-0.216,9.489,-0.031,0.010,0.009
4.170,0.302,-0.196,9.537,-0.024,0.011,0.012
4.180,0.292,-0.158,9.518,-0.029,0.011,0.008
4.190,0.211,-0.129,9.489,-0.027,0.015,0.012
4.200,0.230,-0.206,9.479,-0.029,0.009,0.009
4.210,0.302,-0.158,9.465,-0.030,0.013,0.010
4.220,0.263,-0.168,9.542,-0.025,0.009,0.012
4.230,0.225,-0.153,9.633,-0.030,0.006,0.011
4.240,0.307,-0.182,9.427,-0.025,0.008,0.011
4.250,0.292,-0.177,9.508,-0.025,0.007,0.009
4.260,0.292,-0.177,9.523,-0.031,0.013,0.014
4.270,0.307,-0.153,9.547,-0.030,0.006,0.013
4.280,0.244,-0.148,9.580,-0.022,0.011,0.011
4.290,0.177,-0.158,9.479,-0.025,0.009,0.009
4.300,0.259,-0.172,9.436,-0.028,0.005,0.007
4.310,0.292,-0.192,9.542,-0.027,0.009,0.007
4.320,0.273,-0.216,9.547,-0.031,0.012,0.009
4.330,0.340,-0.206,9.503,-0.026,0.010,0.009
4.340,0.297,-0.139,9.532,-0.028,0.012,0.009
4.350,0.225,-0.120,9.518,-0.025,0.009,0.008
4.360,0.287,-0.139,9.513,-0.026,0.011,0.014
4.370,0.321,-0.148,9.460,-0.027,0.006,0.012
4.380,0.278,-0.148,9.508,-0.029,0.009,0.010
4.390,0.254,-0.196,9.484,-0.027,0.007,0.009
4.400,0.278,-0.187,9.537,-0.030,0.011,0.011
4.410,0.225,-0.172,9.441,-0.028,0.010,0.008
4.420,0.311,-0.144,9.470,-0.026,0.007,0.008
4.430,0.268,-0.201,9.456,-0.024,0.015,0.009
4.440,0.345,-0.216,9.436,-0.028,0.010,0.007
4.450,0.311,-0.168,9.609,-0.031,0.012,0.007
4.460,0.302,-0.139,9.489,-0.029,0.008,0.010
4.470,0.321,-0.134,9.556,-0.026,0.014,0.009
4.480,0.244,-0.192,9.537,-0.029,0.011,0.008
4.490,0.287,-0.172,9.508,-0.027,0.007,0.014
4.500,0.263,-0.206,9.470,-0.026,0.015,0.011
4.510,0.206,-0.220,9.494,-0.025,0.009,0.011
4.520,0.283,-0.196,9.575,-0.027,0.013,0.011
4.530,0.259,-0.196,9.566,-0.024,0.007,0.009
4.540,0.292,-0.172,9.446,-0.025,0.013,0.009
4.550,0.249,-0.144,9.518,-0.023,0.013,0.011
4.560,0.211,-0.163,9.561,-0.026,0.011,0.008
4.570,0.254,-0.201,9.460,-0.027,0.005,0.009
